Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
1120.65,42.939999,4.11,6.8959,0.9281,0.805,1243.28,47.29,2351.810059
1058.01,44.259998,4.1,6.8949,0.9288,0.8026,1243.84,47,2358.919922
1040.47,53.740002,4.37,6.8998,0.9295,0.8022,1240.82,47.3,2356.219971
1046.4,50.549999,4.33,6.883,0.9264,0.8016,1253.1,47.02,2344.899902
1064.65,53.970001,4.41,6.8892,0.9261,0.8039,1250.95,48.36,2363.780029
1055.13,53.630001,8.23,6.896,0.9311,0.8081,1246.95,49.47,2363.360107
1049.29,52.220001,7.81,6.8974,0.9371,0.8064,1247.84,50.3,2370.419922
1074.92,51.77,7.61,6.9064,0.939,0.8043,1239.83,50.54,2370.350098
1151.74,45.970001,9.48,6.8871,0.9397,0.8023,1245.1,50.25,2365.870117
1156.44,47.490002,12.85,6.8871,0.9402,0.8053,1253.79,50.99,2360.530029
1135.09,45.869999,12.62,6.899,0.9402,0.8052,1252.5,51.14,2378.360107
1188.37,44.580002,11.27,6.9047,0.9409,0.8034,1252.23,51.69,2364.159912
1186.58,45.77,11.22,6.9062,0.9453,0.8087,1259.96,52.25,2363.76001
1190.34,44.43,10.32,6.915,0.9463,0.8087,1250.95,53.06,2366.370117
1208.07,47.889999,12.16,6.9068,0.9454,0.8063,1253.46,53.38,2355.219971
1207.14,51.040001,11.72,6.9019,0.9445,0.8014,1272.95,53.12,2352.719971
1205.89,50.099998,11.91,6.8925,0.9425,0.8001,1283.43,53.19,2348.26001
1194.9,50.25,11.59,6.8916,0.9433,0.7985,1287.6,52.62,2349.139893
1217.57,50.5,11.21,6.8951,0.9402,0.7991,1281.03,52.46,2348.350098
1215.51,49.560001,11.45,6.8892,0.9347,0.7833,1283.43,50.49,2352.629883
1240.79,49.459999,12.47,6.8933,0.9338,0.7831,1276.68,50.26,2361.370117
1235.94,48.939999,14.51,6.8861,0.9363,0.7836,1277.63,49.64,2356.179932
1250.94,50.610001,15.26,6.8882,0.9242,0.783,1271.18,48.9,2376.97998
1267.58,54.610001,15.86,6.8891,0.9215,0.7829,1271.17,49.22,2392.47998
1294.83,63.419998,15.16,6.8928,0.9212,0.781,1261.08,49.22,2398.159912
1319.7,73.849998,14.83,6.9009,0.9216,0.7792,1263.6,48.96,2392.100098
1331.28,74.029999,15.79,6.9016,0.9212,0.7762,1262.35,49.31,2393.679932
1434.32,81.239998,15.88,6.8935,0.9188,0.7762,1261.86,48.83,2394.48999
1473.9,80.959999,26.52,6.8985,0.9186,0.7774,1253.84,47.65,2392.929932
1492.77,95.309998,26.68,6.899,0.9192,0.7774,1252.97,47.79,2389.820068
1608.91,97.660004,27.16,6.8988,0.9195,0.7794,1235.73,45.55,2391.429932
1618.03,95.599998,27.93,6.9032,0.9134,0.7752,1227.83,46.23,2399.290039
1723.35,89.580002,32.439999,6.9067,0.9162,0.7734,1228.49,46.46,2401.360107
1833.49,91.32,36.470001,6.9095,0.9206,0.7752,1224.58,45.84,2403.870117
1788.44,90.550003,32.080002,6.9094,0.9214,0.7736,1219.86,47.28,2399.73999
1873.93,90.57,30.780001,6.9081,0.9225,0.7784,1217.56,47.81,2395.719971
1856.15,88.589996,28.18,6.907,0.9214,0.7785,1223.85,47.83,2392.439941
1812.8,92.18,25.15,6.9032,0.9156,0.7765,1227.74,48.86,2404.050049
1785.94,89.400002,26,6.8964,0.9113,0.7772,1230.81,48.64,2405.77002
1864.05,96.099998,28.790001,6.8963,0.9024,0.7749,1240.26,49.04,2384.870117
1904.48,129.470001,28.200001,6.8968,0.9031,0.7755,1256.78,49.36,2375.73999
2004.52,129.070007,28.17,6.8974,0.9013,0.7736,1247.09,50.32,2389.060059
2303.9,176.039993,31.719999,6.896,0.896,0.7713,1251.76,50.81,2395.459961
2320.82,201.149994,35.939999,6.8941,0.8949,0.7722,1259.03,51.12,2400.850098
2523.72,216.100006,35.759998,6.8959,0.8954,0.7736,1248.81,50.99,2405.580078
2763.71,197.669998,31.35,6.8899,0.8934,0.7734,1255.2,48.57,2418.709961
2573.79,169.619995,25.940001,6.8703,0.8961,0.7828,1255.33,49.58,2416.679932
2301.96,233.919998,25.99,6.8556,0.9002,0.7817,1264.83,49.63,2415.26001
2311.08,235.520004,29.610001,6.8529,0.8959,0.7832,1258.73,48.29,2415.98999
2448.39,227.710007,28.65,6.812,0.8928,0.7794,1265.53,48.32,2430.060059
2488.55,226.410004,28.559999,6.8242,0.8927,0.7788,1259.31,47.68,2440.22998
2686.81,268.119995,31.190001,6.8059,0.8903,0.7784,1277.75,47.4,2439.550049
2999.91,264.799988,30.57,6.8037,0.8898,0.7771,1282.14,48.13,2436.209961
2869.38,260.769989,30.389999,6.7979,0.8927,0.776,1289.85,45.8,2435.280029
2815.3,279.140015,30.629999,6.8014,0.8933,0.7748,1283.33,45.68,2439.27002
2901.71,351.820007,30.309999,6.8041,0.8958,0.7918,1272.51,45.82,2446.199951
2997.26,399.5,30.610001,6.7996,0.8937,0.7914,1265.18,46.1,2430.379883
2789.04,393.619995,31.809999,6.7995,0.8941,0.7911,1262.48,46.41,2441.48999
2786.83,351.940002,29.790001,6.8007,0.8934,0.786,1265.56,44.79,2443.75
2534.71,360.839996,34.18,6.8079,0.8984,0.7881,1260.87,44.47,2433.949951
2539.92,368.329987,47.700001,6.8162,0.8978,0.7845,1250.99,44.73,2433.149902
2662.85,365.220001,48.32,6.8199,0.8974,0.7859,1249.77,44.24,2453.820068
2763.45,352.829987,46.75,6.836,0.8995,0.7936,1242.7,43.34,2450.659912
2772.01,333.399994,47.91,6.8363,0.8988,0.7944,1243.08,42.48,2442.22998
2723.74,331.529999,46.98,6.8365,0.8979,0.7903,1249.17,42.53,2441.620117
2765.17,330.279999,46.09,6.8454,0.8973,0.7891,1249.99,42.86,2441.399902
2615.25,286.640015,40.240002,6.8468,0.8953,0.7871,1249.47,43.24,2450.419922
2552.45,323.869995,43.099998,6.8466,0.8946,0.7865,1243.4,44.25,2440.149902
2603.98,322.279999,41.939999,6.8114,0.8858,0.7817,1248.45,44.74,2442.969971
2588.83,305.299988,41.220001,6.8014,0.8791,0.774,1247.85,44.88,2442.72998
2559.25,281.809998,39.700001,6.7856,0.8779,0.7724,1242.9,46.02,2432.709961
2622.65,274.549988,52.98,6.8035,0.8841,0.7757,1223.39,45.11,2434.899902
2616.72,266.25,51.18,6.8074,0.8828,0.7742,1223.17,45.52,2424.280029
2916.14,248.350006,52.110001,6.806,0.8788,0.7774,1219.15,44.25,2426.919922
