"Bitcoin","Ethereum","Litecoin","Gold","Oil","Chinese Yuan","Europe","Pound","SP","Dow Jones","EPU Index","NASDAQ","New York Stock Exchange","Volatil Index"
773.47,7.6,3.9,1173.18,51.72,6.8933,0.9518,0.7919,2209.419922,19274.84961,113.93,5321.089844,10923.91016,120
765.62,7.8,3.53,1169.59,50.95,6.8821,0.9351,0.7903,2212.780029,19255.89063,158.64,5333.990234,10973.91992,85
771.54,8.55,3.64,1166.09,49.85,6.8938,0.9338,0.7956,2241.629883,19558.41992,162,5397.930176,11118,126
774.7,8.9,3.71,1173.73,50.84,6.8833,0.9436,0.7972,2251.689941,19664.9707,125.48,5425.52002,11176.62988,198
774.53,8.64,3.69,1165.55,51.51,6.9085,0.9499,0.7968,2259.800049,19757.74023,97.26,5450.160156,11194.23047,53
781.92,8.6,3.68,1153.87,52.74,6.9187,0.95,0.7962,2264.030029,19824.58984,99.45,5434.899902,11227.29981,104
788.46,8.54,3.68,1159.36,52.99,6.9078,0.9432,0.7905,2277.530029,19953.75,336.71,5486.75,11256.07031,152
782.03,8.47,3.65,1157.95,51.01,6.9101,0.9528,0.7982,2276.199951,19966.42969,53.87,5476.25,11234,162
781.43,8.28,3.66,1138.12,50.9,6.9444,0.9647,0.8083,2272.120117,19951.28906,232.94,5485.120117,11170.65039,132
785.03,7.94,3.66,1127.88,51.93,6.9624,0.9617,0.8081,2268.050049,19923.16992,53.13,5474.580078,11162.94043,105
793.61,7.92,3.71,1136.07,52.13,6.9546,0.9623,0.8095,2267.469971,19917.7793,91.47,5483.419922,11150.30957,37
801.34,7.76,3.65,1134.36,52.22,6.9595,0.9663,0.8122,2272.560059,19987.63086,59.25,5489.470215,11176.67969,52
834.28,7.96,3.79,1132.06,51.44,6.9549,0.9633,0.8115,2271.22998,19986.56055,37.37,5486.259766,11174.40039,60
875.78,7.92,3.75,1128.49,51.98,6.9516,0.9594,0.8145,2263.179932,19933.83008,50.35,5472.009766,11127.78027,71
925.12,7.64,4.45,1127.93,52.01,6.9532,0.9593,0.8179,2263.790039,19934.15039,35.7,5462.689941,11128.86035,71
975.92,7.72,4.54,1139.08,54.01,6.962,0.9643,0.8198,2271.310059,19981.10938,161.59,5498.910156,11149.79004,143
979.4,8.51,4.54,1144.99,53.8,6.9576,0.9608,0.8193,2254.51001,19878.43945,116.01,5450.629883,11092.48047,202
972.53,8.48,4.5,1157.55,53.75,6.9555,0.9543,0.8168,2253.580078,19852.55078,141.16,5441.899902,11104.08984,239
1044.08,9.94,4.63,1151.76,52.36,6.9638,0.9671,0.8198,2263.879883,19938.5293,89.85,5452.569824,11176.91016,116
1159.42,10.89,4.73,1157.14,53.26,6.9594,0.9627,0.8186,2272.820068,19956.14063,101.99,5482.350098,11252.62988,95
1191.1,11.63,4.63,1170.32,53.77,6.9324,0.9545,0.8151,2271.5,19948.59961,134.47,5495.850098,11264.16992,63
1046.81,10.42,4.29,1175,53.98,6.9404,0.9504,0.8161,2282.100098,19999.63086,96.97,5536.52002,11260.83984,67
913.69,10.75,4.32,1172.23,51.95,6.9381,0.9516,0.8248,2275.48999,19943.7793,121.76,5541.080078,11209.70996,44
914.87,10.68,4.58,1181.61,50.82,6.9343,0.948,0.8261,2279.27002,19957.11914,121.9,5564.25,11229.50977,48
919.45,10.72,4.57,1185.46,52.19,6.9379,0.9566,0.8306,2275.320068,19973.41992,124.56,5564.080078,11226.79981,42
826.25,10.23,4.05,1195.07,53.01,6.9246,0.9462,0.8229,2271.780029,19929.28906,113.32,5550.669922,11214.58008,66
829,9.9,4.02,1191.44,52.36,6.9051,0.944,0.825,2278.679932,19952.0293,135.56,5584.259766,11244.32031,36
910.56,10.53,3.94,1205.35,52.45,6.9059,0.9438,0.832,2272.080078,19882.99023,160.96,5557.049805,11221.90039,62
917.5,10.46,3.92,1211.06,51.12,6.8741,0.9409,0.8162,2272.01001,19828.19922,135.59,5555.97998,11203.42969,82
904.61,10.52,3.91,1199.32,51.39,6.88,0.9444,0.8162,2274.330078,19824.14063,95.56,5571.529785,11203.37012,107
899.4,10.75,3.92,1203.53,52.33,6.8822,0.9415,0.8155,2276.959961,19843.93945,141.55,5574.350098,11208.20996,27
928.27,10.96,3.84,1213.21,52.77,6.8605,0.9358,0.8095,2271.780029,19833.98047,154.77,5564.140137,11188.58008,47
924.15,10.87,3.83,1213.33,52.38,6.8652,0.9328,0.8052,2284.629883,19949.24023,136.15,5606.529785,11269.63965,33
903.25,10.65,3.78,1203.72,52.14,6.8855,0.9338,0.8008,2299.550049,20082,175.14,5658.589844,11343.78027,6
923.22,10.67,3.86,1182.53,53.18,6.8816,0.9387,0.7995,2299.02002,20115.9707,135.05,5667.450195,11314.32031,853
923.05,10.77,4.06,1190.43,52.63,6.8816,0.9418,0.8025,2286.01001,20028.61914,115.06,5636.089844,11229.25977,37
972.02,10.8,4.15,1196.24,52.75,6.8816,0.9361,0.8056,2279.090088,19918.16992,139.29,5615.149902,11225.94043,69
989.11,10.87,4.06,1207.12,53.9,6.8816,0.9319,0.7972,2289.139893,19967.73047,158.28,5662.109863,11259.88965,51
1013.52,10.92,4.04,1211.26,53.55,6.8816,0.9297,0.7993,2283.969971,19922.75,113.53,5656.009766,11225.45996,59
1033.87,10.95,4.06,1211.06,53.81,6.8795,0.9337,0.8027,2298.310059,20081.48047,131.28,5666.839844,11316.73047,10
1044.64,11.39,3.96,1220.55,53.01,6.8708,0.9342,0.8046,2296.179932,20094.94922,150.83,5668.200195,11289.48047,7
1061.93,11.55,3.98,1230.09,52.19,6.8863,0.9385,0.8099,2299.399902,20155.34961,121.82,5689.600098,11285.17969,6
1078.97,11.6,3.98,1230.88,52.37,6.8938,0.9401,0.8016,2295.909912,20068.2793,118.99,5686.959961,11254.79004,18
1088.99,11.49,3.95,1237.86,52.99,6.8736,0.9391,0.8008,2311.080078,20206.35938,74.34,5722.709961,11339.75977,20
998.91,11.44,3.79,1221.84,53.84,6.8826,0.9429,0.8041,2319.22998,20298.21094,231.24,5743.430176,11390.88965,21
1002.1,11.49,3.76,1227.53,52.96,6.892,0.9443,0.8014,2331.580078,20441.48047,77.85,5770.990234,11450.63965,16
1011.51,14.05,3.8,1224.78,53.21,6.8894,0.9469,0.8036,2337.580078,20504.41016,120.2,5783.089844,11468.87988,809
1008.84,13.68,3.84,1223.54,53.11,6.8778,0.9507,0.8075,2351.300049,20620.44922,130.16,5821.950195,11523.92969,47
1033.37,13.06,3.89,1231.52,53.41,6.8639,0.9444,0.803,2351.310059,20639.86914,89.07,5835.149902,11525.20996,31
1053.17,12.94,3.88,1235.19,53.41,6.8735,0.9432,0.8074,2351.159912,20624.05078,143.29,5838.580078,11510.91992,86
1117.25,12.84,3.81,1231.7,54.02,6.8895,0.9501,0.8064,2366.709961,20757.64063,87.54,5867.890137,11582.63965,30
1125.39,12.9,3.84,1233.29,53.61,6.8834,0.953,0.8051,2365.129883,20781.58984,226.71,5864.419922,11567.9502,26
1176.62,13.3,3.9,1234.18,54.48,6.884,0.9491,0.8048,2368.26001,20840.69922,84.74,5866.959961,11590.34961,43
1200.39,13.29,3.91,1247.63,53.99,6.8783,0.9474,0.8035,2367.340088,20821.75977,99,5845.310059,11556.15039,39
1181.98,16.09,3.87,1253.77,54.04,6.8816,0.9478,0.8076,2371.540039,20851.33008,117.37,5861.899902,11564.63965,47
1193.25,16.75,3.87,1250.26,54,6.873,0.9462,0.8081,2367.790039,20841.24023,114.25,5855.069824,11542,87
1222.5,17.65,3.87,1241.94,53.82,6.8826,0.9511,0.8145,2400.97998,21169.10938,111.9,5911.790039,11687.07031,111
1262.13,19.639999,4.35,1243.59,52.63,6.8911,0.9527,0.8167,2394.75,21129.19922,125.27,5897.009766,11633.63965,129
1280.31,21.059999,4.13,1229.54,53.33,6.9079,0.9524,0.819,2383.889893,21039.96094,88.91,5870.75,11604.51953,5
1276,20.299999,4.07,1231.23,53.19,6.9005,0.9459,0.8182,2378.800049,20986.42969,104.29,5857.740234,11562.58984,845
