Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
-0.919135554,-1.02251018,-0.908071151,1.009543837,1.712867623,1.505264562,-0.388758071,-0.397693184,-0.585457519
-0.914906064,-1.017892999,-0.910957942,1.091756303,1.706065962,1.578872326,-0.670026355,-0.319362558,-0.633319699
-0.915908765,-1.020364166,-0.911745248,1.055543669,1.558696625,1.553269625,-0.636194085,-0.335028683,-0.655751433
-0.916013455,-1.021957419,-0.911482813,1.087841424,1.590437713,1.66528144,-0.804154291,-0.392098139,-0.671969465
-0.92610793,-1.024818768,-0.912926208,1.117692379,1.638049345,1.732488529,-0.988329965,-0.711015686,-0.680916119
-0.934180719,-1.02742,-0.913713514,1.163692211,1.65845433,1.735688866,-1.188520915,-0.831868651,-0.698588857
-0.917195293,-1.022380115,-0.912663772,1.159287971,1.560963846,1.735688866,-1.347872911,-0.910199276,-0.664301059
-0.924895849,-0.985442662,-0.896523989,1.124543417,1.395456745,1.697284815,-1.173306403,-0.921389366,-0.675055334
-0.923164969,-0.989214451,-0.907677498,1.163202851,1.504283332,1.799695617,-1.255384692,-1.000839,-0.700924777
-0.921582981,-0.971526091,-0.907808716,1.137756135,1.49748167,1.722887516,-1.274603023,-0.877748017,-0.606347392
-0.920101031,-0.935011344,-0.904921925,1.132373176,1.29343182,1.518065912,-0.833782552,-0.882224053,-0.614764671
-0.938205481,-0.907926042,-0.907152627,1.10692646,1.25035463,1.338847009,-0.78073195,-0.877748017,-0.625298376
-0.965455214,-0.938392945,-0.910695506,1.10790518,1.257156291,1.313244308,-0.653810888,-0.939293509,-0.652446066
-0.951636089,-0.943953068,-0.910695506,1.10839454,1.268492394,1.303643295,-0.705660344,-1.025457197,-0.641957552
-0.952050197,-0.946749389,-0.911220377,1.033033113,1.155131366,1.130825067,-0.39496399,-0.995243955,-0.774700516
-0.966623093,-0.942457365,-0.911351595,1.028139514,1.17100191,1.054016966,-0.383753297,-1.027695214,-0.743366244
-0.97070369,-0.91163279,-0.907808716,1.05211815,1.186872454,1.041215615,-0.444210964,-0.994124946,-0.755265348
-0.969324104,-0.9220052,-0.908333587,0.969905684,1.116588617,1.02201359,-0.198376478,-1.025457197,-0.805154652
-0.965078329,-0.91088494,-0.907283845,1.000245999,1.109786955,1.095621354,-0.241417532,-0.875509999,-0.721946997
-0.967293111,-0.911990462,-0.857158665,1.033522473,1.223147983,1.230035532,-0.321493912,-0.751300007,-0.723797658
-0.968651759,-0.916575128,-0.86266981,1.040373512,1.359181216,1.175629793,-0.303676917,-0.658422266,-0.692683956
-0.962689063,-0.918038323,-0.865294165,1.084415904,1.402258407,1.108422704,-0.464029868,-0.631566051,-0.692991681
-0.944817258,-0.936897229,-0.840756446,0.989969441,1.418128951,1.044415953,-0.358529237,-0.66401731,-0.712735654
-0.943723825,-0.93195489,-0.796536064,0.989969441,1.429465054,1.14042608,-0.184563302,-0.581210649,-0.736270252
-0.948690801,-0.937222389,-0.799554073,1.048203271,1.429465054,1.137225742,-0.210387935,-0.564425515,-0.657690326
-0.936295464,-0.94141686,-0.817268469,1.076096786,1.445335598,1.079619666,-0.21579309,-0.502880024,-0.720272793
-0.936711899,-0.937547539,-0.817924557,1.083437184,1.545093302,1.249237557,-0.061045486,-0.440215523,-0.722035224
-0.935837153,-0.941904597,-0.829734155,1.126500857,1.567765508,1.249237557,-0.241417532,-0.349575799,-0.710532076
-0.931712353,-0.930654286,-0.805590089,1.086373344,1.547360523,1.172429455,-0.191169603,-0.313767513,-0.759672504
-0.931928714,-0.920411941,-0.81136367,1.062394708,1.526955538,1.015612915,0.199002557,-0.342861746,-0.770690392
-0.93221952,-0.923468394,-0.808870533,1.016394876,1.481611126,0.974008527,0.408802673,-0.335028683,-0.790346134
-0.934776291,-0.922980657,-0.813069501,1.011990637,1.499748891,0.922803126,0.492282299,-0.398812192,-0.786468353
-0.929502224,-0.922167773,-0.818055775,1.029118234,1.429465054,0.942005151,0.360756845,-0.416716335,-0.789949102
-0.929981473,-0.925224214,-0.814906549,1.000245999,1.304767923,0.436351816,0.408802673,-0.637161096,-0.771087424
-0.924100202,-0.925549374,-0.801522339,1.020309755,1.284362938,0.429951141,0.273673782,-0.662898301,-0.732567854
-0.925228532,-0.927240173,-0.774753918,0.985075841,1.341043452,0.445952829,0.292691922,-0.732276855,-0.755441806
-0.921738853,-0.921810101,-0.764912587,0.9953524,1.066709765,0.426750804,0.163568759,-0.815083517,-0.66377276
-0.917867637,-0.908803957,-0.757039522,0.999756639,1.00549481,0.423550466,0.163368568,-0.779275231,-0.59546185
-0.911528055,-0.880157934,-0.766224764,1.017862956,0.998693148,0.362744053,-0.0386241,-0.779275231,-0.570429506
-0.905742169,-0.846244412,-0.77055495,1.057501109,1.00776203,0.305137976,0.01182402,-0.808369463,-0.597136049
-0.903048138,-0.845659132,-0.757958046,1.060926628,0.998693148,0.20912785,-0.013199849,-0.76920415,-0.590173475
-0.879076375,-0.822215561,-0.756777086,1.021288475,0.944279854,0.20912785,-0.023009206,-0.822916579,-0.586603423
-0.869868278,-0.823125987,-0.617161401,1.045756471,0.939745413,0.2475319,-0.183562347,-0.954959634,-0.593478841
-0.865478263,-0.776466448,-0.615061917,1.048203271,0.953348737,0.2475319,-0.20097896,-0.939293509,-0.607184495
-0.838458849,-0.768825319,-0.608763465,1.047224551,0.960150398,0.311538652,-0.546108157,-1.18995151,-0.600089574
-0.836337125,-0.775523502,-0.598659699,1.068756387,0.821849944,0.177124474,-0.704259008,-1.113858903,-0.565448861
-0.811834931,-0.795097737,-0.539480507,1.085883984,0.88533212,0.119518398,-0.691046405,-1.088121697,-0.556325749
-0.786211388,-0.78944007,-0.486599728,1.099586062,0.985089824,0.177124474,-0.769321066,-1.157500251,-0.545263745
-0.796692055,-0.791943743,-0.544204306,1.099096702,1.003227589,0.125919073,-0.863811194,-0.996362964,-0.563465857
