Date,Open,High,Low,Close
06/07/17,2869.38,2869.38,2700.56,2732.16
06/08/17,2720.49,2815.30,2670.95,2805.62
06/09/17,2807.44,2901.71,2795.62,2823.81
06/10/17,2828.14,2950.99,2746.55,2947.71
06/11/17,2942.41,2996.60,2840.53,2958.11
06/12/17,2953.22,2997.26,2518.56,2659.63
06/13/17,2680.91,2789.04,2650.38,2717.02
06/14/17,2716.88,2786.83,2412.94,2506.37
06/15/17,2499.58,2534.71,2212.96,2464.58
06/16/17,2469.57,2539.92,2385.15,2518.56
06/17/17,2514.01,2685.19,2484.96,2655.88
06/18/17,2655.35,2662.10,2516.33,2548.29
06/19/17,2549.03,2662.85,2549.03,2589.60
06/20/17,2591.26,2763.45,2589.82,2721.79
06/21/17,2709.43,2772.01,2660.40,2689.10
06/22/17,2691.03,2723.74,2642.36,2705.41
06/23/17,2707.34,2765.17,2706.37,2744.91
06/24/17,2738.52,2757.94,2583.19,2608.72
06/25/17,2607.25,2682.26,2552.12,2589.41
06/26/17,2590.57,2615.25,2376.29,2478.45
06/27/17,2478.45,2552.45,2332.99,2552.45
06/28/17,2553.03,2603.98,2484.42,2574.79
06/29/17,2567.56,2588.83,2510.48,2539.32
06/30/17,2539.24,2559.25,2478.43,2480.84
07/01/17,2492.60,2515.27,2419.23,2434.55
07/02/17,2436.40,2514.28,2394.84,2506.47
07/03/17,2498.56,2595.00,2480.47,2564.06
07/04/17,2561.00,2631.59,2559.35,2601.64
07/05/17,2602.87,2622.65,2538.55,2601.99
07/06/17,2608.10,2616.72,2581.69,2608.56
07/07/17,2608.59,2916.14,2498.87,2518.66
07/08/17,2520.27,2571.34,2492.31,2571.34
07/09/17,2572.61,2635.49,2517.59,2518.44
07/10/17,2525.25,2537.16,2321.13,2372.56
07/11/17,2385.89,2413.47,2296.81,2337.79
07/12/17,2332.77,2423.71,2275.14,2398.84
07/13/17,2402.70,2425.22,2340.83,2357.90
07/14/17,2360.59,2363.25,2183.22,2233.34
07/15/17,2230.12,2231.14,1990.41,1998.86
07/16/17,1991.98,2058.77,1843.03,1929.82
07/17/17,1932.62,2230.49,1932.62,2228.41
07/18/17,2233.52,2387.61,2164.77,2318.88
07/19/17,2323.08,2397.17,2260.23,2273.43
07/20/17,2269.89,2900.70,2269.89,2817.60
07/21/17,2838.41,2838.41,2621.85,2667.76
07/22/17,2668.63,2862.42,2657.71,2810.12
07/23/17,2808.10,2832.18,2653.94,2730.40
07/24/17,2732.70,2777.26,2699.19,2754.86
07/25/17,2757.50,2768.08,2480.96,2576.48
07/26/17,2577.77,2610.76,2450.80,2529.45
07/27/17,2538.71,2693.32,2529.34,2671.78
07/28/17,2679.73,2897.45,2679.73,2809.01
07/29/17,2807.02,2808.76,2692.80,2726.45
07/30/17,2724.39,2758.53,2644.85,2757.18
07/31/17,2763.24,2889.62,2720.61,2875.34
08/01/17,2871.30,2921.35,2685.61,2718.26
08/02/17,2727.13,2762.53,2668.59,2710.67
08/03/17,2709.56,2813.31,2685.14,2804.73
08/04/17,2806.93,2899.33,2743.72,2895.89
08/05/17,2897.63,3290.01,2874.83,3252.91
08/06/17,3257.61,3293.29,3155.60,3213.94
08/07/17,3212.78,3397.68,3180.89,3378.94
08/08/17,3370.22,3484.85,3345.83,3419.94
08/09/17,3420.40,3422.76,3247.67,3342.47
08/10/17,3341.84,3453.45,3319.47,3381.28
08/11/17,3373.82,3679.72,3372.12,3650.62
08/12/17,3650.63,3949.92,3613.70,3884.71
08/13/17,3880.04,4208.39,3857.80,4073.26
08/14/17,4066.10,4325.13,3989.16,4325.13
08/15/17,4326.99,4455.97,3906.18,4181.93
08/16/17,4200.34,4381.23,3994.42,4376.63
08/17/17,4384.44,4484.70,4243.71,4331.69
08/18/17,4324.34,4370.13,4015.40,4160.62
08/19/17,4137.75,4243.26,3970.55,4193.70
08/20/17,4189.31,4196.29,4069.88,4087.66
08/21/17,4090.48,4109.14,3988.60,4001.74
08/22/17,3998.35,4128.76,3674.58,4100.52
08/23/17,4089.01,4255.78,4078.41,4151.52
08/24/17,4137.60,4376.39,4130.26,4334.68
08/25/17,4332.82,4455.70,4307.35,4371.60
08/26/17,4372.06,4379.28,4269.52,4352.40
08/27/17,4345.10,4416.59,4317.29,4382.88
08/28/17,4384.45,4403.93,4224.64,4382.66
