Date,Price,Open,High,Low,Change %
07/27/16,0.9043,0.9099,0.9125,0.9035,-0.64%
07/26/16,0.9101,0.9093,0.9109,0.9065,0.05%
07/25/16,0.9096,0.9114,0.9133,0.9089,-0.16%
07/22/16,0.9111,0.9065,0.913,0.9056,0.44%
07/21/16,0.9071,0.9079,0.9108,0.904,-0.09%
07/20/16,0.9079,0.907,0.9107,0.9064,0.07%
07/19/16,0.9073,0.9027,0.9091,0.9018,0.47%
07/18/16,0.9031,0.9054,0.9062,0.902,-0.34%
07/15/16,0.9062,0.8992,0.9071,0.8968,0.78%
07/14/16,0.8992,0.9014,0.9022,0.8955,-0.29%
07/13/16,0.9018,0.9039,0.9058,0.8991,-0.27%
07/12/16,0.9042,0.9042,0.9051,0.8986,-0.01%
07/11/16,0.9043,0.9046,0.908,0.9028,-0.03%
07/08/16,0.9046,0.9038,0.909,0.8996,0.08%
07/07/16,0.9039,0.9006,0.9051,0.8998,0.32%
07/06/16,0.901,0.9027,0.9066,0.8997,-0.21%
07/05/16,0.9029,0.8962,0.904,0.894,0.73%
07/04/16,0.8964,0.8973,0.9014,0.8954,-0.18%
07/01/16,0.898,0.9003,0.9032,0.8952,-0.27%
06/30/16,0.9004,0.8987,0.9071,0.8963,0.17%
06/29/16,0.8989,0.9036,0.9052,0.8982,-0.53%
06/28/16,0.9037,0.9069,0.9083,0.8998,-0.39%
06/27/16,0.9072,0.9028,0.9117,0.9019,0.84%
06/24/16,0.8996,0.8778,0.9164,0.8744,2.46%
06/23/16,0.878,0.885,0.8854,0.8754,-0.80%
06/22/16,0.8851,0.8888,0.89,0.8818,-0.51%
06/21/16,0.8896,0.8835,0.8896,0.8809,0.64%
06/20/16,0.8839,0.8861,0.8864,0.8783,-0.32%
06/17/16,0.8867,0.8907,0.8915,0.885,-0.46%
06/16/16,0.8908,0.8879,0.8986,0.8851,0.30%
06/15/16,0.8881,0.892,0.8939,0.8848,-0.46%
06/14/16,0.8922,0.8856,0.8939,0.8846,0.75%
06/13/16,0.8856,0.8885,0.8903,0.8846,-0.37%
06/10/16,0.8889,0.8835,0.8893,0.8825,0.59%
06/09/16,0.8837,0.877,0.8847,0.8758,0.68%
06/08/16,0.8777,0.8803,0.8813,0.8762,-0.31%
06/07/16,0.8804,0.8805,0.8821,0.8785,-0.03%
06/06/16,0.8807,0.8807,0.8831,0.8777,0.10%
06/03/16,0.8798,0.8968,0.8981,0.8787,-1.88%
06/02/16,0.8967,0.8937,0.8975,0.8911,0.32%
06/01/16,0.8938,0.8981,0.9,0.8929,-0.50%
05/31/16,0.8983,0.8975,0.8993,0.8949,0.13%
05/30/16,0.8971,0.8995,0.9012,0.8969,-0.29%
05/27/16,0.8997,0.8931,0.9003,0.8926,0.72%
05/26/16,0.8933,0.8963,0.8975,0.8913,-0.35%
05/25/16,0.8964,0.8974,0.8986,0.8953,-0.13%
05/24/16,0.8976,0.891,0.8983,0.8906,0.71%
05/23/16,0.8913,0.8913,0.8942,0.8893,0.03%
05/20/16,0.891,0.8925,0.8934,0.8897,-0.18%
05/19/16,0.8926,0.8913,0.8945,0.8903,0.12%
05/18/16,0.8915,0.8836,0.892,0.8827,0.86%
05/17/16,0.8839,0.8831,0.885,0.8811,0.05%
05/16/16,0.8835,0.8839,0.885,0.8814,-0.10%
05/13/16,0.8844,0.8788,0.8864,0.8785,0.61%
05/12/16,0.879,0.875,0.8798,0.8744,0.42%
05/11/16,0.8753,0.8793,0.8798,0.8734,-0.47%
05/10/16,0.8794,0.8783,0.8807,0.8763,0.10%
05/09/16,0.8785,0.8769,0.8792,0.8755,0.19%
05/06/16,0.8768,0.8763,0.8784,0.8709,0.00%
05/05/16,0.8768,0.8702,0.8784,0.8697,0.72%
05/04/16,0.8705,0.8696,0.8721,0.8672,0.08%
